id,place_id,name,filter_id
1558,857,[기술 입은 문화예술교육] 관악!아트랩 203 AI와 함께하는 별별무브 시즌3,6
1559,857,[기술 입은 문화예술교육] 관악!아트랩 203 AI와 함께하는 별별무브 시즌3,4
1560,858,[황학정국궁전시관] 활의 나라 : 다시 태어난 근대 활쏘기의 시작,3
1561,858,[황학정국궁전시관] 활의 나라 : 다시 태어난 근대 활쏘기의 시작,6
1562,859,[2023년 쫌쫌따리 문화모아] 동그란 자유: 세상을 거꾸로 볼 자you,6
1563,860,[서울디자인재단] 플라스틱 탐험대 : SUP 습격!,3
1564,860,[서울디자인재단] 플라스틱 탐험대 : SUP 습격!,6
1565,861,[2023 운현궁 하우스뮤지엄] 제9회 설경규방공예연구회 정기전시회,3
1566,861,[2023 운현궁 하우스뮤지엄] 제9회 설경규방공예연구회 정기전시회,6
1567,862,[서울역사박물관] 대전엑스포’93 30주년 기념 특별공동기획전 [대전엑스포’93: 과학 신화가 현실로],3
1568,862,[서울역사박물관] 대전엑스포’93 30주년 기념 특별공동기획전 [대전엑스포’93: 과학 신화가 현실로],6
1569,862,[서울역사박물관] 대전엑스포’93 30주년 기념 특별공동기획전 [대전엑스포’93: 과학 신화가 현실로],5
1570,862,[서울역사박물관] 대전엑스포’93 30주년 기념 특별공동기획전 [대전엑스포’93: 과학 신화가 현실로],4
1571,863,[돈의문박물관마을] 2023 하반기 한옥예술체험 예술가의 시간,5
1572,863,[돈의문박물관마을] 2023 하반기 한옥예술체험 예술가의 시간,3
1573,863,[돈의문박물관마을] 2023 하반기 한옥예술체험 예술가의 시간,4
1574,864,[아뜰리에 광화] 2023 광장으로의 초대 이중섭,3
1575,864,[아뜰리에 광화] 2023 광장으로의 초대 이중섭,6
1576,865,[2023생애주기별 문화예술교육] 실천력 프로젝트 추가모집(~7.16),6
1577,865,[2023생애주기별 문화예술교육] 실천력 프로젝트 추가모집(~7.16),4
1578,866,"2023년 용산도시기억전시관 기획전시 [변화의 물결 속 용산, 1960~70년대 용산을 바라보다]",3
1579,866,"2023년 용산도시기억전시관 기획전시 [변화의 물결 속 용산, 1960~70년대 용산을 바라보다]",6
1580,867,[도봉기적의도서관] 구름아래 예술놀이 제작소 '그림책 재담꾼! 도봉쑨',3
1581,867,[도봉기적의도서관] 구름아래 예술놀이 제작소 '그림책 재담꾼! 도봉쑨',4
1582,868,기억프로젝트 [내가 만드는 백제],4
1583,869,[유휴공간프로젝트 Ⅱ] 진화의 비밀 8 - 플라잉맨 in 무중력,3
1584,869,[유휴공간프로젝트 Ⅱ] 진화의 비밀 8 - 플라잉맨 in 무중력,6
1585,870,[도봉문화원] 원!투!쓰리!클래스 연극꿈틀 & 사진꿈틀,6
1586,870,[도봉문화원] 원!투!쓰리!클래스 연극꿈틀 & 사진꿈틀,4
1587,871,"우리가 만나던 그곳, 종로서적",4
1588,872,[중랑문화재단] 옹기테마체험관 옹기테마아카데미,6
1589,872,[중랑문화재단] 옹기테마체험관 옹기테마아카데미,4
1590,873,[서울문화재단] 2023년 PLAY-UP 아카데미,6
1591,873,[서울문화재단] 2023년 PLAY-UP 아카데미,4
1592,874,문화예술교육 프로그램 [학교폭력 스탑 프로젝트: 연극 프로불편러],6
