category_id,district,name,work_time,address,phone_number,description,page_url,image_url,latitude,longitude,price
2,송파구,[서울시립교향악단] 2023 서울시향 얍 판 츠베덴의 베토벤 삼중 협주곡 ①,2023-11-30~2023-11-30,롯데콘서트홀,,"R 100,000원 S 80,000원 A 50,000원 B 30,000원 C 10,000원",https://www.seoulphil.or.kr/perf/view?perfNo=5265&calendarDate=2023/11/30&langCd=ko&menuFlag=MFLG0001,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=73ccd83795f545fcb3afaf5442103d6e&thumb=Y,37.51375196,127.1044469,유료
2,종로구,"2023 국악대학전 내일의 예인 홍솔휘, 이가현가단",2023-11-30~2023-11-30,서울돈화문국악당,,"전석 12,000원",https://sdtt.or.kr/user/program/2023/11/1416,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=367a96863d1245458830744b8f7e63d1&thumb=Y,37.57725028,126.9907307,유료
2,종로구,"2023 국악대학전 내일의 예인 윤주연, 신별하",2023-11-29~2023-11-29,서울돈화문국악당,,"전석 12,000원",https://sdtt.or.kr/user/program/2023/11/1415,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=41959de77816426aa89074292654057f&thumb=Y,37.57725028,126.9907307,유료
2,종로구,뮌헨 필하모닉 내한공연,2023-11-29~2023-11-29,세종대극장,,"VIP 330,000원 R석 250,000원 S석 180,000원 A석 100,000원 B석 40,000원",https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=33856&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9343e03c1a004b1ab65d60f06f640b75&thumb=Y,37.5726241,126.9760053,유료
3,종로구,2023 세종미술관 기획전시 [필묵변혁-송수남 황창배],2023-11-28~2024-01-14,"세종미술관 1관,세종미술관 2관",,"성인 5,000원 / 청소년(2005~2010년생) 3,000원 / 어린이(2011~2019년생) 2,000원",https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=34652&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=0f0c5c48fc4548cb8de9aedaec452d53&thumb=Y,37.5726241,126.9760053,유료
2,구로구,브런치콘서트 [이달의 공연] 11월 클래식과 재즈의 더 배틀,2023-11-28~2023-11-28,구로아트밸리 예술극장,,"전석 10,000원 / 단체10인 이상 할인 20% (전화예매필수)",https://www.guroartsvalley.or.kr/user/performance/performanceView.do?performanceSeq=3673&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=78c250f20537440cbbdf2f085f20a1c7&thumb=Y,37.49655847,126.8889639,유료
2,종로구,"2023 국악대학전 내일의 예인 김은유, 이수흔",2023-11-28~2023-11-28,서울돈화문국악당,,"전석 12,000원",https://sdtt.or.kr/user/program/2023/11/1414,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=58e6876f57404801b13832b3e19d7813&thumb=Y,37.57725028,126.9907307,유료
2,중구,[중구문화재단] 월요극장4 - 뷰티풀 데이즈 with V.O.S,2023-11-27~2023-11-27,충무아트센터 중극장 블랙,,"전석 10,000원",https://www.caci.or.kr/caci/performance/view.do?menuNo=200006&pblprfrId=1500,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9403239c46af4976bbb8eca04f5846ce&thumb=Y,37.56594097,127.0147909,유료
2,영등포구,[영등포문화재단] 가족극장 뮤지컬 앤ANNE,2023-11-24~2023-11-25,영등포아트홀,,"전석 20,000원",https://www.ydpcf.or.kr/artexhibit/view.do?id=340,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=112b480647624c63b325fac76d1100f8&thumb=Y,37.5262451,126.9001286,유료
2,구로구,[구로문화재단 팝페라 콘서트] 팝페라 그룹 포엣,2023-11-24~2023-11-24,오류아트홀,,"전석 20,000원",https://www.guroartsvalley.or.kr/user/performance/performanceView.do?performanceSeq=3688&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c54b44e3c1ca40cf8213cb68176314aa&thumb=Y,37.49535812,126.8460358,유료
2,송파구,[서울시립교향악단] 2023 서울시향 얍 판 츠베덴의 쇼스타코비치 교향곡 5번 ①,2023-11-23~2023-11-24,롯데콘서트홀,,"R 120,000원 S 90,000원 A 60,000원 B 30,000원 C 10,000원",https://www.seoulphil.or.kr/perf/view?perfNo=5261&calendarDate=2023/11/23&langCd=ko&menuFlag=MFLG0001,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=bc5dd1ec7d68459e958eda828ddf8ff0&thumb=Y,37.51375196,127.1044469,유료
2,강북구,[강북문화재단] 마티네콘서트 Ⅲ 유니크클래식 with 반도네온 (고상지),2023-11-22~2023-11-22,강북진달래홀,,"전석 20,000원 (강북구민 할인 50%)",https://www.gbcf.or.kr/load.asp?subPage=110.View&page=1&idx=183,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d74696cb832546498275c921397d7036&thumb=Y,37.64090255,127.0132564,유료
2,강동구,"이고르 레비트, 피아노 리사이틀",2023-11-22~2023-11-22,강동아트센터 대극장 한강,,"R석 90,000원 S석 70,000원 A석 50,000원",http://www.gdfac.or.kr/web/lay2/program/S1T204C211/show/view.do?show_seq=1975&cpage=1&rows=999&keyword=&place=&start_dt=&end_dt=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5e038a40312b4c4490f7e12d75838c61&thumb=Y,37.55122046,127.1573425,유료
2,중구,뮤지컬 [몬테크리스토],2023-11-21~2024-02-25,충무아트센터 대극장,,"VIP석 17만원, R석 14만원, S석 11만원, A석 8만원",https://www.caci.or.kr/caci/performance/view.do?menuNo=200006&pblprfrId=1501,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=859e1d3b1cb349f381b7a90c85fab820&thumb=Y,37.56594097,127.0147909,유료
2,종로구,2023 이병우 기타 콘서트 -  다가오는 심장 소리,2023-11-18~2023-11-19,세종문화회관 S씨어터,,"전석 77,000원",https://www.ticketlink.co.kr/product/46340,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9646bb15bf734cc7916258b5bfe61cd9&thumb=Y,37.5726241,126.9760053,유료
2,종로구,완창여정프로젝트 : 이해원의 심청가 판소리공장 바닥소리,2023-11-18~2023-11-18,서울돈화문국악당 공연장,,"전석 20,000원",https://sdtt.or.kr/user/program/2023/11/1408,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5cb07053829247dd8faf7c4805460fba&thumb=Y,37.57725028,126.9907307,유료
2,종로구,[서울시립교향악단] 2023 서울시향 실내악 시리즈 IV : 관악 앙상블,2023-11-18~2023-11-18,세종문화회관 체임버홀,,"R 50,000원 S 30,000원 A 10,000원",https://www.seoulphil.or.kr/perf/view?perfNo=5302&calendarDate=2023/11/18&langCd=ko&menuFlag=MFLG0001,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=564c43f27839480a8c64a491ac6fd371&thumb=Y,37.5726241,126.9760053,유료
